#address Crate   slot    chan    id  number  strip   offset  gain        
0x00000b00  0   11  0   BL-16   144 16  116.2808189 0.478726115     
0x00000b01  0   11  1   BL-15   145 15  111.3127435 0.47839747      
0x00000b02  0   11  2   BL-14   146 14  118.8026805 0.478159321     
0x00000b03  0   11  3   BL-13   147 13  115.8970878 0.477149572     
0x00000b04  0   11  4   BL-12   148 12  116.5059562 0.476295571     
0x00000b05  0   11  5   BL-11   149 11  100.4559344 0.481255252     
0x00000b06  0   11  6   BL-10   150 10  119.1450381 0.476138869     
0x00000b07  0   11  7   BL-9    151 9   130.1345721 0.475619706     
0x00000b08  0   11  8   BL-8    152 8   159.4558441 0.62237729      
0x00000b09  0   11  9   BL-7    153 7   123.3064259 0.475719728     
0x00000b0a  0   11  10  BL-6    154 6   107.926891  0.478468914     
0x00000b0b  0   11  11  BL-5    155 5   101.9342174 0.479812072     
0x00000b0c  0   11  12  BL-4    156 4   109.6210795 0.481340985     
0x00000b0d  0   11  13  BL-3    157 3   115.6862931 0.4385276       
0x00000b0e  0   11  14  BL-2    158 2   126.3919255 0.435458343     
0x00000b0f  0   11  15  BL-1    159 1   133.2417908 0.435735547     
                                        
0x00000c00  0   12  0   sssd-1  160 1   0   1       
0x00000c01  0   12  1   sssd-2  161 2   0   1       
0x00000c02  0   12  2   sssd-3  162 3   0   1       
0x00000c03  0   12  3   sssd-4  163 4   0   1       
0x00000c04  0   12  4   sssd-5  164 5   0   1       
0x00000c05  0   12  5   sssd-6  165 6   0   1       
0x00000c06  0   12  6   sssd-7  166 7   0   1       
0x00000c07  0   12  7   sssd-8  167 8   0   1       
0x00000c08  0   12  8   sssd-9  168 9   0   1       
0x00000c09  0   12  9   sssd-10 169 10  0   1       
0x00000c0a  0   12  10  sssd-11 170 11  0   1       
0x00000c0b  0   12  11  sssd-12 171 12  0   1       
0x00000c0c  0   12  12  sssd-13 172 13  0   1       
0x00000c0d  0   12  13  sssd-14 173 14  0   1       
0x00000c0e  0   12  14  sssd-15 174 15  0   1       
0x00000c0f  0   12  15  sssd-16 175 16  0   1       
                                        
0x00000d00  0   12  0   PIN1-I2N    176 0   0   1       
0x00000d01  0   12  1   PIN1-I2S    177 0   0   1       
0x00000d02  0   12  2   PIN2-I2N    178 0   0   1       
0x00000d03  0   12  3   PIN2-I2S    179 0   0   1       
0x00000d04  0   12  4   I2S-I2N 180 0   0   1       
0x00000d05  0   12  5   PIN01   181 0   0   1       
0x00000d06  0   12  6   PIN02   182 0   0   1       
0x00000d07  0   12  7   PIN03   183 0   0   1       
0x00000d08  0   12  8   none    184 0   0   1       
0x00000d09  0   12  9   none    185 0   0   1       
0x00000d0a  0   12  10  none    186 0   0   1       
0x00000d0b  0   12  11  none    187 0   0   1       
0x00000d0c  0   12  12  none    188 0   0   1       
0x00000d0d  0   12  13  none    189 0   0   1       
0x00000d0e  0   12  14  none    190 0   0   1       
0x00000d0f  0   12  15  none    191 0   0   1       
                                        
0x00010200  1   2   0   LaBr-1  192 1   1.713794738 0.122779436     
0x00010201  1   2   1   LaBr-2  193 2   0.111142806 0.143431213     
0x00010202  1   2   2   LaBr-3  194 3   2.111029916 0.117776427     
0x00010203  1   2   3   LaBr-4  195 4   2.27795354  0.143292609     
0x00010204  1   2   4   LaBr-5  196 5   1.687334558 0.141516351     
0x00010205  1   2   5   LaBr-6  197 6   1.644102077 0.131076481     
0x00010206  1   2   6   LaBr-7  198 7   1.606259623 0.126787281     
0x00010207  1   2   7   LaBr-8  199 8   1.673234793 0.145617772     
0x00010208  1   2   8   LaBr-9  200 9   3.509499803 0.105466463     
0x00010209  1   2   9   LaBr-10 201 10  1.12112622  0.201297656     
0x0001020a  1   2   10  LaBr-11 202 11  3.555640533 0.102722927     
0x0001020b  1   2   11  LaBr-12 203 12  3.588390044 0.151066916     
0x0001020c  1   2   12  LaBr-13 204 13  2.913974912 0.116959416     
0x0001020d  1   2   13  LaBr-14 205 14  2.524148677 0.113854815     
0x0001020e  1   2   14  LaBr-15 206 15  3.206951928 0.103072656     
0x0001020f  1   2   15  LaBr-16 207 16  0   0       
                                        
0x00010300  1   3   0   1-E1    208 1   0.555861836 0.367178189     
0x00010301  1   3   1   1-E2    209 1   0.153308672 0.3617663       
0x00010302  1   3   2   1-E3    210 1   0.156281672 0.378365304     
0x00010303  1   3   3   1-E4    211 1   0.148665018 0.375628915     
0x00010304  1   3   4   2-E1    212 2   -0.107583508    0.166094977     
0x00010305  1   3   5   2-E2    213 2   -0.099077427    0.149563295     
0x00010306  1   3   6   2-E3    214 2   -0.249664468    0.135874524     
0x00010307  1   3   7   2-E4    215 2   0   0       
0x00010308  1   3   8   3-E1    216 3   -0.192112094    0.165699679     
0x00010309  1   3   9   3-E2    217 3   0   0       
0x0001030a  1   3   10  3-E3    218 3   -0.09375608 0.162374595     
0x0001030b  1   3   11  3-E4    219 3   -0.278318466    0.157914552     
0x0001030c  1   3   12  4-E1    220 4   -0.365482794    0.17314939      
0x0001030d  1   3   13  4-E2    221 4   -0.169188543    0.171687667     
0x0001030e  1   3   14  4-E3    222 4   -0.154118702    0.169719212     
0x0001030f  1   3   15  4-E4    223 4   -0.041728738    0.167723809     
                                        
0x00010400  1   4   0   5-E1    224 5   0.088997284 0.174736204     
0x00010401  1   4   1   5-E2    225 5   -0.224861648    0.172040957     
0x00010402  1   4   2   5-E3    226 5   -0.157893324    0.172473901     
0x00010403  1   4   3   5-E4    227 5   0.137371358 0.172815466     
0x00010404  1   4   4   6-E1    228 6   -0.408033442    0.162891294     
0x00010405  1   4   5   6-E2    229 6   -0.77329023 0.16624426      
0x00010406  1   4   6   6-E3    230 6   -0.407077942    0.164516443     
0x00010407  1   4   7   6-E4    231 6   -0.488456767    0.170426024     
0x00010408  1   4   8   7-E1    232 7   0.05506833  0.162409903     
0x00010409  1   4   9   7-E2    233 7   0.016417216 0.16525589      
0x0001040a  1   4   10  7-E3    234 7   -0.242508722    0.162246941     
0x0001040b  1   4   11  7-E4    235 7   -0.128971018    0.169259134     
0x0001040c  1   4   12  8-E1    236 8   0.121469908 0.165868923     
0x0001040d  1   4   13  8-E2    237 8   -0.177388326    0.167876265     
0x0001040e  1   4   14  8-E3    238 8   -0.175926925    0.171233982     
0x0001040f  1   4   15  8-E4    239 8   0.1303192   0.164160786     
                                        
0x00010500  1   5   0   9-E1    240 9   -0.026307458    0.170617948     
0x00010501  1   5   1   9-E2    241 9   0.069286318 0.164711118     
0x00010502  1   5   2   9-E3    242 9   0.204016838 0.173518405     
0x00010503  1   5   3   9-E4    243 9   0.370331654 0.169050052     
0x00010504  1   5   4   10-E1   244 10  0.074857103 0.16779059      
0x00010505  1   5   5   10-E2   245 10  0.121834122 0.171051733     
0x00010506  1   5   6   10-E3   246 10  0.008741926 0.163303831     
0x00010507  1   5   7   10-E4   247 10  0.050133212 0.161860844     
0x00010508  1   5   8   11-E1   248 11  0.114261655 0.139090853     
0x00010509  1   5   9   11-E2   249 11  0.157803152 0.163201377     
0x0001050a  1   5   10  11-E3   250 11  0.043363408 0.168776648     
0x0001050b  1   5   11  11-E4   251 11  0.089988396 0.180489755     
0x0001050c  1   5   12  12-E1   252 12  -0.047272868    0.170480455     
0x0001050d  1   5   13  12-E2   253 12  0.055047776 0.167591808     
0x0001050e  1   5   14  12-E3   254 12  -0.031613074    0.143680161     
0x0001050f  1   5   15  12-E4   255 12  -0.036203068    0.16304231      
                                        
0x00010600  1   6   0   13-E1   256 13  0.230822849 0.364812107     
0x00010601  1   6   1   13-E2   257 13  0.036903135 0.405889211     
0x00010602  1   6   2   13-E3   258 13  0.09956055  0.392902297     
0x00010603  1   6   3   13-E4   259 13  0.322934142 0.387510164     
0x00010604  1   6   4   14-E1   260 14  0.103340081 0.164140691     
0x00010605  1   6   5   14-E2   261 14  0.186179049 0.181560249     
0x00010606  1   6   6   14-E3   262 14  -0.143880443    0.179446246     
0x00010607  1   6   7   14-E4   263 14  -0.040689741    0.1807702       
0x00010608  1   6   8   15-E1   264 15  -0.037158351    0.164899718     
0x00010609  1   6   9   15-E2   265 15  -0.055115217    0.161758688     
0x0001060a  1   6   10  15-E3   266 15  -0.196001169    0.164142069     
0x0001060b  1   6   11  15-E4   267 15  0   0       
0x0001060c  1   6   12  16-E1   268 16  -0.011897289    0.173506705     
0x0001060d  1   6   13  16-E2   269 16  0.20392814  0.175921311     
0x0001060e  1   6   14  16-E3   270 16  -0.195807967    0.17530227      
0x0001060f  1   6   15  16-E4   271 16  0.251140231 0.168593384     
                                        
0x00000e00  0   13  0   Sssd-1-lg   272 1   0   1       
0x00000e01  0   13  1   Sssd-2-lg   273 2   0   1       
0x00000e02  0   13  2   Sssd-3-lg   274 3   0   1       
0x00000e03  0   13  3   sssd-4-lg   275 4   0   1       
0x00000e04  0   13  4   sssd-5-lg   276 5   0   1       
0x00000e05  0   13  5   sssd-6-lg   277 6   0   1       
0x00000e06  0   13  6   sssd-7-lg   278 7   0   1       
0x00000e07  0   13  7   sssd-8-lg   279 8   0   1       
0x00000e08  0   13  8   sssd-9-lg   280 9   0   1       
0x00000e09  0   13  9   sssd-10-lg  281 10  0   1       
0x00000e0a  0   13  10  sssd-11-lg  282 11  0   1       
0x00000e0b  0   13  11  sssd-12-lg  283 12  0   1       
0x00000e0c  0   13  12  sssd-13-lg  284 13  0   1       
0x00000e0d  0   13  13  sssd-14-lg  285 14  0   1       
0x00000e0e  0   13  14  sssd-15-lg  286 15  0   1       
0x00000e0f  0   13  15  sssd-16-lg  287 16  0   1       
